date,value,geography
2022-03-01,3.6,United States
2022-02-01,3.8,United States
2022-01-01,4.0,United States
2021-12-01,3.9,United States
2021-11-01,4.2,United States
2021-10-01,4.6,United States
2021-09-01,4.7,United States
2021-08-01,5.2,United States
2021-07-01,5.4,United States
2021-06-01,5.9,United States
2021-05-01,5.8,United States
2021-04-01,6.0,United States
2021-03-01,6.0,United States
2021-02-01,6.2,United States
2021-01-01,6.4,United States
2020-12-01,6.7,United States
2020-11-01,6.7,United States
2020-10-01,6.9,United States
2020-09-01,7.9,United States
2020-08-01,8.4,United States
2020-07-01,10.2,United States
2020-06-01,11.0,United States
2020-05-01,13.2,United States
2020-04-01,14.7,United States
2020-03-01,4.4,United States
2020-02-01,3.5,United States
2020-01-01,3.5,United States
2019-12-01,3.6,United States
2019-11-01,3.6,United States
2019-10-01,3.6,United States
2019-09-01,3.5,United States
2019-08-01,3.7,United States
2019-07-01,3.7,United States
2019-06-01,3.6,United States
2019-05-01,3.6,United States
2019-04-01,3.6,United States
2019-03-01,3.8,United States
2019-02-01,3.8,United States
2019-01-01,4.0,United States
2018-12-01,3.9,United States
2018-11-01,3.8,United States
2018-10-01,3.8,United States
2018-09-01,3.7,United States
2018-08-01,3.8,United States
2018-07-01,3.8,United States
2018-06-01,4.0,United States
2018-05-01,3.8,United States
2018-04-01,4.0,United States
2018-03-01,4.0,United States
2018-02-01,4.1,United States
2018-01-01,4.0,United States
2017-12-01,4.1,United States
2017-11-01,4.2,United States
2017-10-01,4.2,United States
2017-09-01,4.3,United States
2017-08-01,4.4,United States
2017-07-01,4.3,United States
2017-06-01,4.3,United States
2017-05-01,4.4,United States
2017-04-01,4.4,United States
2017-03-01,4.4,United States
2017-02-01,4.6,United States
2017-01-01,4.7,United States
2016-12-01,4.7,United States
2016-11-01,4.7,United States
2016-10-01,4.9,United States
2016-09-01,5.0,United States
2016-08-01,4.9,United States
2016-07-01,4.8,United States
2016-06-01,4.9,United States
2016-05-01,4.8,United States
2016-04-01,5.1,United States
2016-03-01,5.0,United States
2016-02-01,4.9,United States
2016-01-01,4.8,United States
2015-12-01,5.0,United States
2015-11-01,5.1,United States
2015-10-01,5.0,United States
2015-09-01,5.0,United States
2015-08-01,5.1,United States
2015-07-01,5.2,United States
2015-06-01,5.3,United States
2015-05-01,5.6,United States
2015-04-01,5.4,United States
2015-03-01,5.4,United States
2015-02-01,5.5,United States
2015-01-01,5.7,United States
2014-12-01,5.6,United States
2014-11-01,5.8,United States
2014-10-01,5.7,United States
2014-09-01,5.9,United States
2014-08-01,6.1,United States
2014-07-01,6.2,United States
2014-06-01,6.1,United States
2014-05-01,6.3,United States
2014-04-01,6.2,United States
2014-03-01,6.7,United States
2014-02-01,6.7,United States
2014-01-01,6.6,United States
2013-12-01,6.7,United States
2013-11-01,6.9,United States
2013-10-01,7.2,United States
2013-09-01,7.2,United States
2013-08-01,7.2,United States
2013-07-01,7.3,United States
2013-06-01,7.5,United States
2013-05-01,7.5,United States
2013-04-01,7.6,United States
2013-03-01,7.5,United States
2013-02-01,7.7,United States
2013-01-01,8.0,United States
2022-02-01,4.7,Philadelphia MSA
2022-01-01,5.3,Philadelphia MSA
2021-12-01,4.3,Philadelphia MSA
2021-11-01,4.7,Philadelphia MSA
2021-10-01,5.3,Philadelphia MSA
2021-09-01,5.6,Philadelphia MSA
2021-08-01,6.6,Philadelphia MSA
2021-07-01,6.9,Philadelphia MSA
2021-06-01,7.1,Philadelphia MSA
2021-05-01,6.5,Philadelphia MSA
2021-04-01,6.6,Philadelphia MSA
2021-03-01,7.0,Philadelphia MSA
2021-02-01,7.4,Philadelphia MSA
2021-01-01,7.6,Philadelphia MSA
2020-12-01,7.5,Philadelphia MSA
2020-11-01,7.4,Philadelphia MSA
2020-10-01,7.6,Philadelphia MSA
2020-09-01,9.0,Philadelphia MSA
2020-08-01,10.3,Philadelphia MSA
2020-07-01,12.3,Philadelphia MSA
2020-06-01,13.1,Philadelphia MSA
